week,hours_viewed_sum,hours_viewed_mean,hours_viewed_std,hours_viewed_min,hours_viewed_max,weeks_in_top10_mean,ranking_nunique,avg_rating_mean,rating_std_mean,num_ratings_sum,vader_compound_mean_mean,vader_positive_mean_mean,vader_negative_mean_mean,textblob_polarity_mean_mean,num_reviews_with_text_sum,total_hours_next_week,hours_pct_change,engagement_decline,year,month,week_of_year,hours_lag_1,sentiment_lag_1,hours_lag_2,sentiment_lag_2,hours_lag_3,sentiment_lag_3,hours_lag_4,sentiment_lag_4,hours_ma_4week,sentiment_ma_4week
2021-07-04,114650000,11465000.0,6449150.2454888495,4890000,25680000,2.7,10,3.2145833333333336,0.8924757695665935,32,0.367235,0.193745,0.06353,0.17715886539386538,200,113970000.0,-0.005931094635848234,0,2021,7,26,,,,,,,,,114650000.0,0.367235
2021-07-11,113970000,11397000.0,3762809.38189067,7460000,19550000,2.9,10,3.046759259259259,0.8475540953999219,48,0.34003500000000003,0.19575,0.071865,0.15390482596107596,182,114020000.0,0.00043871194173905414,0,2021,7,27,114650000.0,0.367235,,,,,,,114310000.0,0.35363500000000003
2021-07-18,114020000,11402000.0,4461630.99226181,6560000,20080000,2.9,10,3.5662037037037035,1.2004558025408993,122,0.3379885,0.209315,0.07228,0.16010475876246316,182,109540000.0,-0.03929135239431679,0,2021,7,28,113970000.0,0.34003500000000003,114650000.0,0.367235,,,,,114213333.33333333,0.34841950000000005
2021-07-25,109540000,10954000.0,2496638.6291260584,8250000,16130000,2.7,10,3.6791666666666663,1.5304975749380487,168,0.287665,0.20518999999999998,0.09342,0.2138549846327229,200,96860000.0,-0.11575680116852291,1,2021,7,29,114020000.0,0.3379885,113970000.0,0.34003500000000003,114650000.0,0.367235,,,113045000.0,0.33323087500000004
2021-08-01,96860000,9686000.0,7654537.071422268,5030000,28050000,3.4,10,3.9013888888888886,1.3564176395420717,149,0.3173705,0.22454000000000002,0.092975,0.1931216635030915,200,117670000.0,0.21484616972950651,0,2021,8,30,109540000.0,0.287665,114020000.0,0.3379885,113970000.0,0.34003500000000003,114650000.0,0.367235,108597500.0,0.32076475000000004
2021-08-08,117670000,11767000.0,8087062.43879005,5050000,24200000,3.9,10,3.5837499999999998,1.1271209192966878,177,0.39342,0.22338,0.07516,0.1715248193494438,200,229670000.0,0.9518143961927424,0,2021,8,31,96860000.0,0.3173705,109540000.0,0.287665,114020000.0,0.3379885,113970000.0,0.34003500000000003,109522500.0,0.334111
2021-08-15,229670000,22967000.0,25737865.77096952,6450000,90860000,3.4,10,2.76125,1.2723957634530059,178,0.30855350000000004,0.20454500000000003,0.09868,0.10997254055719081,182,181770000.0,-0.20856010798101624,1,2021,8,32,117670000.0,0.39342,96860000.0,0.3173705,109540000.0,0.287665,114020000.0,0.3379885,138435000.0,0.32675224999999997
2021-08-22,181770000,18177000.0,15642830.12899023,6320000,57160000,4.7,10,3.07,1.4688818290185788,190,0.228903,0.212195,0.10435333333333334,0.13449521410742765,195,212810000.0,0.17076525279198987,0,2021,8,33,229670000.0,0.30855350000000004,117670000.0,0.39342,96860000.0,0.3173705,109540000.0,0.287665,156492500.0,0.31206174999999997
2021-08-29,212810000,21281000.0,14922421.943728393,8430000,48140000,3.6,10,2.915,1.4043911650739649,200,0.24797100000000002,0.20404,0.10415,0.1701357013996659,200,151010000.0,-0.29039988722334475,1,2021,8,34,181770000.0,0.228903,229670000.0,0.30855350000000004,117670000.0,0.39342,96860000.0,0.3173705,185480000.0,0.294711875
2021-09-05,151010000,15101000.0,12140166.070619553,6230000,36730000,3.7,10,3.2321428571428568,1.4706660733598524,194,0.315661,0.219055,0.088185,0.17493081060133084,200,133420000.0,-0.11648235216210846,1,2021,9,35,212810000.0,0.24797100000000002,181770000.0,0.228903,229670000.0,0.30855350000000004,117670000.0,0.39342,193815000.0,0.27527212500000003
2021-09-12,133420000,13342000.0,10338012.70393235,6200000,38780000,3.5,10,3.282142857142857,1.49132825032819,194,0.2899645,0.205895,0.09056,0.16807821818763227,200,144760000.0,0.08499475341028331,0,2021,9,36,151010000.0,0.315661,212810000.0,0.24797100000000002,181770000.0,0.228903,229670000.0,0.30855350000000004,169752500.0,0.270624875
2021-09-19,144760000,14476000.0,8772726.929397598,6950000,37400000,2.8,10,3.5227777777777773,1.195919989610063,190,0.34756472222222223,0.19599277777777777,0.09109055555555556,0.20003775645063349,190,122310000.0,-0.15508427742470296,1,2021,9,37,133420000.0,0.2899645,151010000.0,0.315661,212810000.0,0.24797100000000002,181770000.0,0.228903,160500000.0,0.3002903055555556
2021-09-26,122310000,12231000.0,7318930.477421775,5210000,30040000,3.2,10,3.5411111111111113,1.199150342006385,198,0.3147115555555556,0.20280944444444443,0.1023738888888889,0.15884037822461505,198,160980000.0,0.31616384596517044,0,2021,9,38,144760000.0,0.34756472222222223,133420000.0,0.2899645,151010000.0,0.315661,212810000.0,0.24797100000000002,137875000.0,0.3169754444444445
2021-10-03,160980000,16098000.0,13062382.631051656,4160000,47600000,3.4,10,3.40125,1.2122275180623228,196,0.254774,0.1926575,0.0991575,0.1572253301376772,196,137530000.0,-0.1456702695987079,1,2021,10,39,122310000.0,0.3147115555555556,144760000.0,0.34756472222222223,133420000.0,0.2899645,151010000.0,0.315661,140367500.0,0.30175369444444444
2021-10-10,137530000,13753000.0,10910392.650027668,6830000,42280000,3.0,10,3.3191830065359476,1.4940391610219088,186,0.22813382352941175,0.19505823529411764,0.09522411764705882,0.17485027193582128,197,85890000.0,-0.3754817130807824,1,2021,10,40,160980000.0,0.254774,122310000.0,0.3147115555555556,144760000.0,0.34756472222222223,133420000.0,0.2899645,141395000.0,0.2862960253267974
2021-10-17,85890000,8589000.0,4810475.721450703,4770000,20410000,3.1,10,3.365294117647059,1.2752025343083802,197,0.3544733235294118,0.22966823529411765,0.08127411764705882,0.22534928700526996,197,79640000.0,-0.07276749330539062,0,2021,10,41,137530000.0,0.22813382352941175,160980000.0,0.254774,122310000.0,0.3147115555555556,144760000.0,0.34756472222222223,126677500.0,0.2880231756535948
2021-10-24,79640000,7964000.0,8529445.98956397,3430000,31870000,3.5,10,3.4025,1.252335746926494,200,0.3626995,0.22853500000000002,0.07944,0.1966392296583186,200,137850000.0,0.7309141135107986,0,2021,10,42,85890000.0,0.3544733235294118,137530000.0,0.22813382352941175,160980000.0,0.254774,122310000.0,0.3147115555555556,116010000.0,0.3000201617647059
